
2025/03/27 (15:44:44) | WARNING: NVML: Failed to get maximum GPU temperature, defaulting to 110°C: Not Supported
2025/03/27 (15:44:44) | WARNING: NVML: Failed to get GPU utilization: Not Supported
2025/03/27 (15:44:44) | WARNING: NVML: Failed to get GPU clock speed: Not Supported
2025/03/27 (15:44:44) | WARNING: NVML: Failed to get PCIe TX throughput: Not Supported
2025/03/27 (15:44:44) | WARNING: NVML: Failed to get PCIe RX throughput: Not Supported
2025/03/27 (15:44:44) | WARNING: NVML: Failed to get VRAM clock speed: Not Supported
2025/03/27 (15:44:44) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2025/03/27 (15:44:50) | ===> btop++ v.1.4.0
2025/03/27 (15:44:50) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/03/27 (15:44:50) | WARNING: NVML: Failed to get maximum GPU temperature, defaulting to 110°C: Not Supported
2025/03/27 (15:44:50) | WARNING: NVML: Failed to get GPU utilization: Not Supported
2025/03/27 (15:44:50) | WARNING: NVML: Failed to get GPU clock speed: Not Supported
2025/03/27 (15:44:50) | WARNING: NVML: Failed to get VRAM clock speed: Not Supported
2025/03/27 (15:44:50) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2025/03/27 (15:44:50) | WARNING: NVML: Failed to get PCIe TX throughput: Not Supported
2025/03/27 (15:44:50) | WARNING: NVML: Failed to get PCIe RX throughput: Not Supported

2025/03/29 (10:29:29) | ===> btop++ v.1.4.0
2025/03/29 (10:29:29) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/03/29 (10:29:29) | WARNING: NVML: Failed to get maximum GPU temperature, defaulting to 110°C: Not Supported
2025/03/29 (10:29:29) | WARNING: NVML: Failed to get GPU utilization: Not Supported
2025/03/29 (10:29:29) | WARNING: NVML: Failed to get GPU clock speed: Not Supported
2025/03/29 (10:29:29) | WARNING: NVML: Failed to get PCIe RX throughput: Not Supported
2025/03/29 (10:29:29) | WARNING: NVML: Failed to get PCIe TX throughput: Not Supported
2025/03/29 (10:29:29) | WARNING: NVML: Failed to get VRAM clock speed: Not Supported
2025/03/29 (10:29:29) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2025/03/29 (10:30:13) | ===> btop++ v.1.4.0
2025/03/29 (10:30:13) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/03/29 (10:30:13) | WARNING: NVML: Failed to get maximum GPU temperature, defaulting to 110°C: Not Supported
2025/03/29 (10:30:13) | WARNING: NVML: Failed to get GPU utilization: Not Supported
2025/03/29 (10:30:13) | WARNING: NVML: Failed to get GPU clock speed: Not Supported
2025/03/29 (10:30:13) | WARNING: NVML: Failed to get VRAM clock speed: Not Supported
2025/03/29 (10:30:13) | WARNING: NVML: Failed to get PCIe RX throughput: Not Supported
2025/03/29 (10:30:13) | WARNING: NVML: Failed to get PCIe TX throughput: Not Supported
2025/03/29 (10:30:13) | WARNING: NVML: Failed to get GPU power usage: Not Supported
